id,title,title_slug,difficulty,likes,dislikes,ratio
219,Contains Duplicate II,contains-duplicate-ii,easy,4200,2397,1.7521902377972465
493,Reverse Pairs,reverse-pairs,hard,4199,213,19.71361502347418
1171,Shortest Path in Binary Matrix,shortest-path-in-binary-matrix,medium,4156,174,23.885057471264368
307,Range Sum Query - Mutable,range-sum-query-mutable,medium,4150,224,18.526785714285715
902,Minimum Number of Refueling Stops,minimum-number-of-refueling-stops,hard,4148,76,54.578947368421055
882,Peak Index in a Mountain Array,peak-index-in-a-mountain-array,medium,4143,1747,2.371493989696623
445,Add Two Numbers II,add-two-numbers-ii,medium,4125,242,17.045454545454547
782,Jewels and Stones,jewels-and-stones,easy,4116,521,7.900191938579654
304,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,medium,4100,313,13.099041533546325
1039,Find the Town Judge,find-the-town-judge,easy,4087,300,13.623333333333333
931,Maximum Frequency Stack,maximum-frequency-stack,hard,4087,61,67.0
1482,How Many Numbers Are Smaller Than the Current Number,how-many-numbers-are-smaller-than-the-current-number,easy,4072,82,49.65853658536585
336,Palindrome Pairs,palindrome-pairs,hard,4057,419,9.682577565632458
1095,Two City Scheduling,two-city-scheduling,medium,4044,300,13.48
404,Sum of Left Leaves,sum-of-left-leaves,easy,4036,265,15.230188679245282
341,Flatten Nested List Iterator,flatten-nested-list-iterator,medium,4025,1391,2.8936017253774264
832,Binary Tree Pruning,binary-tree-pruning,medium,4022,106,37.943396226415096
1762,Furthest Building You Can Reach,furthest-building-you-can-reach,medium,4003,85,47.09411764705882
678,Valid Parenthesis String,valid-parenthesis-string,medium,3995,97,41.18556701030928
415,Add Strings,add-strings,easy,3985,615,6.479674796747967
941,Sort Array By Parity,sort-array-by-parity,easy,3984,128,31.125
